chrom	start	end	scalar	class
chr1	0	50000	1.0	None
chr1	50000	100000	1.0	None
chr1	100000	150000	1.0	None
chr1	150000	200000	1.0	None
chr1	200000	250000	1.0	None
chr1	250000	300000	1.0	None
chr1	300000	350000	1.0	None
chr1	350000	400000	1.0	None
chr1	400000	450000	1.0	None
chr1	450000	500000	1.0	None
chr1	500000	550000	1.0	None
chr1	550000	600000	1.0	None
chr1	600000	650000	1.0	None
chr1	650000	700000	1.0	None
chr1	700000	750000	1.0	None
chr1	750000	800000	1.0	None
chr1	800000	850000	1.0	None
chr1	850000	900000	1.0	None
chr1	900000	950000	1.0	None
chr1	950000	1000000	1.0	None
chr1	1000000	1050000	1.0	None
chr1	1050000	1100000	1.0	None
chr1	1100000	1150000	1.0	None
chr1	1150000	1200000	1.0	None
chr1	1200000	1250000	1.0	None
chr1	1250000	1300000	1.0	None
chr1	1300000	1350000	1.0	None
chr1	1350000	1400000	1.0	None
chr1	1400000	1450000	1.0	None
chr1	1450000	1500000	1.0	None
chr1	1500000	1550000	1.0	None
chr1	1550000	1600000	1.0	None
chr1	1600000	1650000	1.0	None
chr1	1650000	1700000	1.0	None
chr1	1700000	1750000	1.0	None
chr1	1750000	1800000	1.0	None
chr1	1800000	1850000	1.0	None
chr1	1850000	1900000	1.0	None
chr1	1900000	1950000	1.0	None
chr1	1950000	2000000	1.0	None
chr1	2000000	2050000	1.0	None
chr1	2050000	2100000	1.0	None
chr1	2100000	2150000	1.0	None
chr1	2150000	2200000	1.0	None
chr1	2200000	2250000	1.0	None
chr1	2250000	2300000	1.0	None
chr1	2300000	2350000	1.0	None
chr1	2350000	2400000	1.0	None
chr1	2400000	2450000	1.0	None
chr1	2450000	2500000	1.0	None
chr1	2500000	2550000	1.0	None
chr1	2550000	2600000	1.0	None
chr1	2600000	2650000	1.0	None
chr1	2650000	2700000	1.0	None
chr1	2700000	2750000	1.0	None
chr1	2750000	2800000	1.0	None
chr1	2800000	2850000	1.0	None
chr1	2850000	2900000	1.0	None
chr1	2900000	2950000	1.0	None
chr1	2950000	3000000	1.0	None
chr1	3000000	3050000	1.0244793960095602	good
chr1	3050000	3100000	1.06654217684379	good
chr1	3100000	3150000	1.0052194264405698	good
chr1	3150000	3200000	1.1458229177143202	good
chr1	3200000	3250000	0.974702574174177	good
chr1	3250000	3300000	0.995893796757129	good
chr1	3300000	3350000	1.076471023467	good
chr1	3350000	3400000	0.9918318586369049	good
chr1	3400000	3450000	0.9942191688538091	good
chr1	3450000	3500000	0.9943222879673621	good
chr1	3500000	3550000	1.0188502312190602	good
chr1	3550000	3600000	1.00565781971021	good
chr1	3600000	3650000	0.98601115759792	good
chr1	3650000	3700000	0.96383832975841	good
chr1	3700000	3750000	1.02202276547948	good
chr1	3750000	3800000	1.06081434112306	good
chr1	3800000	3850000	1.07488006585097	good
chr1	3850000	3900000	1.0545680879153299	good
chr1	3900000	3950000	1.01585426720307	good
chr1	3950000	4000000	0.959398707234835	good
chr1	4000000	4050000	0.992684450233494	good
chr1	4050000	4100000	1.01630074839018	good
chr1	4100000	4150000	0.938862720839772	good
chr1	4150000	4200000	1.12617318638615	good
chr1	4200000	4250000	1.0229098270291	good
chr1	4250000	4300000	1.115709836193	good
chr1	4300000	4350000	1.05979339635856	good
chr1	4350000	4400000	0.9654776152383779	good
chr1	4400000	4450000	0.9564295916378579	good
chr1	4450000	4500000	0.9560176298392979	good
chr1	4500000	4550000	0.9065899219943141	good
chr1	4550000	4600000	1.0408656227495099	good
chr1	4600000	4650000	0.9031666919040899	good
chr1	4650000	4700000	0.936959913153518	good
chr1	4700000	4750000	0.9472231121258471	good
chr1	4750000	4800000	1.0420529597502801	good
chr1	4800000	4850000	1.07924464737363	good
chr1	4850000	4900000	1.12917234169067	good
chr1	4900000	4950000	0.9288347772389209	good
chr1	4950000	5000000	0.920077714556965	good
chr1	5000000	5050000	0.9646037718896421	good
chr1	5050000	5100000	1.1029021657856002	good
chr1	5100000	5150000	1.16374293454189	good
chr1	5150000	5200000	0.985628333906147	good
chr1	5200000	5250000	0.908491989949651	good
chr1	5250000	5300000	1.03307031453749	good
chr1	5300000	5350000	0.922639123966963	good
chr1	5350000	5400000	1.05017694559757	good
chr1	5400000	5450000	1.08621305926488	good
chr1	5450000	5500000	0.96649442595365	good
chr1	5500000	5550000	0.978406234386563	good
chr1	5550000	5600000	1.02538422032986	good
chr1	5600000	5650000	0.975678642972643	good
chr1	5650000	5700000	1.0391356895648	good
chr1	5700000	5750000	1.09922260508079	good
chr1	5750000	5800000	1.02629098128311	good
chr1	5800000	5850000	1.2196359037330402	good
chr1	5850000	5900000	1.03120501475016	good
chr1	5900000	5950000	0.948660202703855	good
chr1	5950000	6000000	1.1019211921313898	good
chr1	6000000	6050000	1.0551880032643002	good
chr1	6050000	6100000	0.973901634187195	good
chr1	6100000	6150000	1.0461311789063101	good
chr1	6150000	6200000	1.0546371134492198	good
chr1	6200000	6250000	1.23933497443606	good
chr1	6250000	6300000	1.1662146448033999	good
chr1	6300000	6350000	1.0485845361988901	good
chr1	6350000	6400000	1.0258772312468298	good
chr1	6400000	6450000	1.04913756058686	good
chr1	6450000	6500000	1.00463694570934	good
chr1	6500000	6550000	0.936308897651715	good
chr1	6550000	6600000	1.0686653378575501	good
chr1	6600000	6650000	1.0688573343660601	good
chr1	6650000	6700000	0.9840059232169251	good
chr1	6700000	6750000	1.05427708745584	good
chr1	6750000	6800000	0.9816067404096659	good
chr1	6800000	6850000	0.9481321386548349	good
chr1	6850000	6900000	0.9447857195627579	good
chr1	6900000	6950000	1.03432784740422	good
chr1	6950000	7000000	0.9952849428293259	good
chr1	7000000	7050000	0.981629100557648	good
chr1	7050000	7100000	0.931661469127765	good
chr1	7100000	7150000	1.05041834122957	good
chr1	7150000	7200000	1.10817387388937	good
chr1	7200000	7250000	0.972833225899068	good
chr1	7250000	7300000	1.05400469934738	good
chr1	7300000	7350000	1.05262305508584	good
chr1	7350000	7400000	1.10898070261218	good
chr1	7400000	7450000	1.03403679955282	good
chr1	7450000	7500000	1.18860029615053	good
chr1	7500000	7550000	1.06115786525802	good
chr1	7550000	7600000	0.974594185339065	good
chr1	7600000	7650000	1.09660654183158	good
chr1	7650000	7700000	0.9628107301472829	good
chr1	7700000	7750000	1.0328757805373399	good
chr1	7750000	7800000	1.07675463624167	good
chr1	7800000	7850000	1.1495347139441798	good
chr1	7850000	7900000	1.08388902566842	good
chr1	7900000	7950000	1.14073583563508	good
chr1	7950000	8000000	1.13180330070021	good
chr1	8000000	8050000	1.01935826226921	good
chr1	8050000	8100000	1.0427786106587	good
chr1	8100000	8150000	1.0599018476031898	good
chr1	8150000	8200000	1.2340399560989	good
chr1	8200000	8250000	1.12284160327319	good
chr1	8250000	8300000	0.9938947702142629	good
chr1	8300000	8350000	1.02876659663664	good
chr1	8350000	8400000	1.1249043635851899	good
chr1	8400000	8450000	1.07311626519872	good
chr1	8450000	8500000	1.05378159043872	good
chr1	8500000	8550000	1.11473164791969	good
chr1	8550000	8600000	1.00306760214898	good
chr1	8600000	8650000	1.14790909948963	good
chr1	8650000	8700000	1.16183471369149	good
chr1	8700000	8750000	1.26833343489654	good
chr1	8750000	8800000	1.0127722740065301	good
chr1	8800000	8850000	1.01700389048339	good
chr1	8850000	8900000	1.01818583898758	good
chr1	8900000	8950000	1.01273990997697	good
chr1	8950000	9000000	1.00920063021537	good
chr1	9000000	9050000	1.14689437300297	good
chr1	9050000	9100000	1.05520414478973	good
chr1	9100000	9150000	1.07934349251156	good
