chrom start end scalar class
chr1 0 100000 1 good
chr1 100000 200000 1 good
chr1 200000 300000 1 good
chr1 300000 400000 1 good
chr1 400000 500000 1 good
chr1 500000 600000 1 good
chr1 600000 700000 1 good
chr1 700000 800000 1 good
chr1 800000 900000 0.854871099563539 good
chr1 900000 1000000 0.696867997475566 good
chr1 1000000 1100000 0.731373560208209 good
chr1 1100000 1200000 0.76095081141741 good
chr1 1200000 1300000 0.734985900594723 good
chr1 1300000 1400000 0.744594878358537 good
chr1 1400000 1500000 0.868116486650568 good
chr1 1500000 1600000 0.8496402281945 good
chr1 1600000 1700000 0.905482962919378 good
chr1 1700000 1800000 1.00872976583207 good
chr1 1800000 1900000 1.03407040434718 good
chr1 1900000 2000000 0.776840546185004 good
chr1 2000000 2100000 0.746592626646777 good
chr1 2100000 2200000 0.724745618418799 good
chr1 2200000 2300000 0.764949000870768 good
chr1 2300000 2400000 0.7088028545383 good
chr1 2400000 2500000 1 good
chr1 2500000 2600000 0.668292306266036 good
chr1 2600000 2700000 0.792039073353104 good
chr1 2700000 2800000 1.41482716123544 good
chr1 2800000 2900000 1 good
chr1 2900000 3000000 0.670041429652273 good
chr1 3000000 3100000 0.661306064724255 good
chr1 3100000 3200000 1 good
chr1 3200000 3300000 0.657553698779531 good
chr1 3300000 3400000 1 good
chr1 3400000 3500000 1 good
chr1 3500000 3600000 1 good
chr1 3600000 3700000 0.689826921314106 good
chr1 3700000 3800000 0.695570816719061 good
chr1 3800000 3900000 0.851176426734931 good
chr1 3900000 4000000 0.677002642471679 good
chr1 4000000 4100000 0.722903019775145 good
chr1 4100000 4200000 0.692738400582468 good
chr1 4200000 4300000 0.803862936226898 good
chr1 4300000 4400000 1 good
chr1 4400000 4500000 0.703730646040711 good
chr1 4500000 4600000 0.759518075589732 good
chr1 4600000 4700000 0.656930392056525 good
chr1 4700000 4800000 1 good
chr1 4800000 4900000 0.785999823420464 good
chr1 4900000 5000000 0.722573674910242 good
chr1 5000000 5100000 0.895074177033183 good
chr1 5100000 5200000 0.781378671396218 good
chr1 5200000 5300000 0.746777179736974 good
chr1 5300000 5400000 0.714400436141495 good
chr1 5400000 5500000 1 good
chr1 5500000 5600000 0.747645869513716 good
chr1 5600000 5700000 0.724368185669424 good
chr1 5700000 5800000 0.675218368925241 good
chr1 5800000 5900000 1 good
chr1 5900000 6000000 0.782566425298232 good
